Tanggal,curah_hujan_DK,curah_hujan_BS,debit_sungai_m3_per_detik,tinggi_muka_air_m
2015-01-01,33.0,1.0,130.5,5.63
2015-01-02,0.0,,93.5,4.98
2015-01-03,0.0,20.5,79.12,4.69
2015-01-04,11.5,2.0,91.08,4.94
2015-01-05,2.0,,76.0,4.61
2015-01-06,,,55.8,4.14
2015-01-07,,1.0,57.57,4.19
2015-01-08,,,43.34,3.8
2015-01-09,,,37.55,3.64
2015-01-10,,,33.85,3.52
2015-01-11,,,35.62,3.58
2015-01-12,,1.0,28.79,3.35
2015-01-13,,6.5,31.9,3.45
2015-01-14,11.0,1.5,40.71,3.73
2015-01-15,2.5,4.5,42.29,3.77
2015-01-16,6.5,2.0,39.06,3.67
2015-01-17,3.0,1.0,34.69,3.54
2015-01-18,0.0,2.0,33.56,3.5
2015-01-19,3.5,1.5,33.88,3.51
2015-01-20,1.0,14.0,36.98,3.61
2015-01-21,15.5,32.0,84.49,4.8
2015-01-22,84.0,2.0,105.05,5.16
2015-01-23,3.0,0.0,73.38,4.54
2015-01-24,0.0,28.5,74.38,4.57
2015-01-25,26.5,35.0,101.97,5.11
2015-01-26,62.5,0.0,102.91,5.1
2015-01-27,0.0,0.0,64.47,4.33
2015-01-28,0.0,0.0,59.96,4.22
2015-01-29,0.0,18.5,78.85,4.65
2015-01-30,9.0,3.5,91.09,4.89
2015-01-31,1.5,4.0,91.97,4.92
2015-02-01,4.0,11.0,97.53,5.04
2015-02-02,3.0,0.0,95.1,4.97
2015-02-03,2.0,2.0,73.64,4.53
2015-02-04,2.5,8.5,83.54,4.75
2015-02-05,5.0,2.5,100.03,5.08
2015-02-06,0.0,18.5,116.01,5.34
2015-02-07,14.0,12.0,147.09,5.87
2015-02-08,8.0,1.0,152.71,5.95
2015-02-09,1.5,2.5,116.86,5.37
2015-02-10,4.0,0.0,111.57,5.27
2015-02-11,0.0,8.5,118.1,5.38
2015-02-12,20.5,5.0,145.51,5.83
2015-02-13,1.0,2.5,131.17,5.6
2015-02-14,2.0,,95.84,4.97
2015-02-15,,,77.02,4.59
2015-02-16,,23.0,75.16,4.56
2015-02-17,14.0,5.0,84.2,4.74
2015-02-18,4.0,10.0,104.2,5.14
2015-02-19,10.5,2.5,139.22,5.74
2015-02-20,4.0,,105.67,5.15
2015-02-21,0.0,,84.72,4.74
2015-02-22,,,68.02,4.38
2015-02-23,,,68.58,4.4
2015-02-24,,,58.1,4.13
2015-02-25,,,45.18,3.79
2015-02-26,,2.0,45.85,3.82
2015-02-27,,3.0,57.82,4.14
2015-02-28,,17.0,70.79,4.44
2015-03-01,,0.0,89.44,4.83
2015-03-02,2.0,1.5,90.77,4.86
2015-03-03,2.5,6.0,76.96,4.57
2015-03-04,,1.0,62.73,4.25
2015-03-05,6.0,,60.8,4.2
2015-03-06,0.0,,60.24,4.19
2015-03-07,0.0,0.0,50.55,3.94
2015-03-08,0.0,0.0,48.4,3.88
2015-03-09,0.0,,45.69,3.8
2015-03-10,,,40.48,3.65
2015-03-11,,9.0,40.76,3.66
2015-03-12,14.5,9.5,55.5,4.07
2015-03-13,10.0,,56.79,4.09
2015-03-14,,0.0,46.8,3.82
2015-03-15,,14.0,66.57,4.34
2015-03-16,13.0,,83.58,4.7
2015-03-17,,,76.8,4.55
2015-03-18,0.0,6.5,85.37,4.74
2015-03-19,14.5,18.0,109.64,5.2
2015-03-20,15.5,6.5,127.0,5.5
2015-03-21,5.5,1.5,117.47,5.33
2015-03-22,1.0,31.0,111.11,5.22
2015-03-23,13.5,0.0,105.78,5.11
2015-03-24,19.5,2.0,97.28,4.96
2015-03-25,1.5,30.5,107.52,5.15
2015-03-26,24.5,3.5,106.44,5.12
2015-03-27,4.5,26.5,90.02,4.81
2015-03-28,28.0,27.5,107.4,5.14
2015-03-29,,10.0,109.55,5.19
2015-03-30,,7.0,82.02,4.63
2015-03-31,,4.0,104.27,5.08
2015-04-01,5.0,55.0,104.98,5.09
2015-04-02,56.0,,156.26,5.97
2015-04-03,0.0,7.5,112.61,5.21
2015-04-04,1.0,73.0,124.69,5.41
2015-04-05,65.0,2.5,194.33,6.49
