curah_hujan_DK,curah_hujan_BS,debit_sungai_m3_per_detik,tinggi_muka_air_m,Banjir
33.0,1.0,130.5,5.63,0
0.0,10.75,93.5,4.98,0
0.0,20.5,79.12,4.69,0
11.5,2.0,91.08,4.94,0
2.0,1.6666666666666667,76.0,4.61,0
3.0,1.3333333333333335,55.8,4.14,0
4.0,1.0,57.57,4.19,0
5.0,1.0,43.34,3.8,0
6.0,1.0,37.55,3.64,0
7.0,1.0,33.85,3.52,0
8.0,1.0,35.62,3.58,0
9.0,1.0,28.79,3.35,0
10.0,6.5,31.9,3.45,0
11.0,1.5,40.71,3.73,0
2.5,4.5,42.29,3.77,0
6.5,2.0,39.06,3.67,0
3.0,1.0,34.69,3.54,0
0.0,2.0,33.56,3.5,0
3.5,1.5,33.88,3.51,0
1.0,14.0,36.98,3.61,0
15.5,32.0,84.49,4.8,0
84.0,2.0,105.05,5.16,0
3.0,0.0,73.38,4.54,0
0.0,28.5,74.38,4.57,0
26.5,35.0,101.97,5.11,1
62.5,0.0,102.91,5.1,0
0.0,0.0,64.47,4.33,0
0.0,0.0,59.96,4.22,0
0.0,18.5,78.85,4.65,0
9.0,3.5,91.09,4.89,0
1.5,4.0,91.97,4.92,0
4.0,11.0,97.53,5.04,0
3.0,0.0,95.1,4.97,0
2.0,2.0,73.64,4.53,0
2.5,8.5,83.54,4.75,0
5.0,2.5,100.03,5.08,0
0.0,18.5,116.01,5.34,0
14.0,12.0,147.09,5.87,1
8.0,1.0,152.71,5.95,0
1.5,2.5,116.86,5.37,0
4.0,0.0,111.57,5.27,0
0.0,8.5,118.1,5.38,0
20.5,5.0,145.51,5.83,0
1.0,2.5,131.17,5.6,0
2.0,9.333333333333332,95.84,4.97,0
6.0,16.166666666666664,77.02,4.59,0
10.0,23.0,75.16,4.56,0
14.0,5.0,84.2,4.74,0
4.0,10.0,104.2,5.14,0
10.5,2.5,139.22,5.74,0
4.0,2.4285714285714284,105.67,5.15,0
0.0,2.357142857142857,84.72,4.74,0
0.2222222222222222,2.2857142857142856,68.02,4.38,0
0.4444444444444444,2.2142857142857144,68.58,4.4,0
0.6666666666666666,2.142857142857143,58.1,4.13,0
0.8888888888888888,2.0714285714285716,45.18,3.79,0
1.1111111111111112,2.0,45.85,3.82,0
1.3333333333333333,3.0,57.82,4.14,0
1.5555555555555556,17.0,70.79,4.44,0
1.7777777777777777,0.0,89.44,4.83,0
2.0,1.5,90.77,4.86,0
2.5,6.0,76.96,4.57,0
4.25,1.0,62.73,4.25,0
6.0,0.6666666666666667,60.8,4.2,0
0.0,0.33333333333333337,60.24,4.19,0
0.0,0.0,50.55,3.94,0
0.0,0.0,48.4,3.88,0
0.0,3.0,45.69,3.8,0
4.833333333333334,6.0,40.48,3.65,0
9.666666666666668,9.0,40.76,3.66,0
14.5,9.5,55.5,4.07,0
10.0,4.75,56.79,4.09,0
11.0,0.0,46.8,3.82,0
12.0,14.0,66.57,4.34,0
13.0,11.5,83.58,4.7,0
6.5,9.0,76.8,4.55,0
0.0,6.5,85.37,4.74,0
14.5,18.0,109.64,5.2,1
15.5,6.5,127.0,5.5,0
5.5,1.5,117.47,5.33,0
1.0,31.0,111.11,5.22,0
13.5,0.0,105.78,5.11,0
19.5,2.0,97.28,4.96,0
1.5,30.5,107.52,5.15,0
24.5,3.5,106.44,5.12,0
4.5,26.5,90.02,4.81,0
28.0,27.5,107.4,5.14,1
22.25,10.0,109.55,5.19,0
16.5,7.0,82.02,4.63,0
10.75,4.0,104.27,5.08,0
5.0,55.0,104.98,5.09,0
56.0,31.25,156.26,5.97,1
0.0,7.5,112.61,5.21,0
1.0,73.0,124.69,5.41,0
65.0,2.5,194.33,6.49,0
32.5,0.0,121.7,5.36,0
0.0,0.5,105.48,5.09,0
20.0,1.0,86.68,4.73,0
1.5,1.0,106.33,5.11,0
0.0,0.0,82.03,4.62,0
2.7500000000000004,4.5,76.4,4.52,0
5.5,7.5,79.8,4.58,0
17.5,8.0,100.43,5.0,0
7.0,60.5,92.99,4.85,0
33.5,10.5,131.38,5.55,1
9.5,4.0,129.83,5.51,0
32.0,2.0,114.81,5.24,0
0.0,0.0,104.03,5.04,0
0.0,20.5,91.83,4.82,0
17.0,7.5,101.74,5.01,0
50.0,1.0,81.92,4.61,0
0.0,0.8333333333333334,75.4,4.47,0
0.15,0.6666666666666667,66.11,4.26,0
0.3,0.5,60.95,4.14,0
0.45,0.33333333333333337,56.86,4.04,0
0.6,0.16666666666666674,56.49,4.03,0
0.75,0.0,55.52,4.01,0
0.9,0.0,60.57,4.13,0
1.05,2.3333333333333335,54.8,3.98,0
1.2,4.666666666666667,63.73,4.21,0
1.35,7.0,57.24,4.04,0
1.5,4.0,68.07,4.31,0
7.0,10.5,104.8,5.05,0
16.0,2.0,113.8,5.2,0
2.5,3.0,92.71,4.8,0
0.0,7.5,87.08,4.7,0
6.5,5.25,117.27,5.27,0
11.75,3.0,70.65,4.34,0
17.0,3.7142857142857144,64.12,4.2,0
18.428571428571427,4.428571428571429,88.83,4.74,0
19.857142857142858,5.142857142857142,51.29,3.86,0
21.285714285714285,5.857142857142858,45.46,3.72,0
22.714285714285715,6.571428571428571,44.36,3.69,0
24.142857142857142,7.285714285714286,45.29,3.71,0
25.57142857142857,8.0,42.72,3.64,0
27.0,0.0,55.25,3.98,0
20.25,8.5,45.1,3.7,0
13.5,17.0,41.99,3.61,0
6.75,0.0,41.01,3.58,0
0.0,0.42857142857142855,38.42,3.5,0
3.875,0.8571428571428571,35.8,3.42,0
7.75,1.2857142857142858,34.71,3.38,0
11.625,1.7142857142857142,32.45,3.31,0
15.5,2.142857142857143,31.74,3.28,0
19.375,2.5714285714285716,31.44,3.27,0
23.25,3.0,34.33,3.37,0
27.125,4.5,37.62,3.47,0
31.0,0.0,39.55,3.52,0
